선명,입항횟수,입항횟수.1,외내,입출,총톤수,입항일시,출항일시,계선장소,차항지,전출항지,선박용도,number,예선,도선
청화2호,2021,1,내항,출항,273,2021-03-03 09:00,2021-12-20 06:35,일반부두 04,기타항,기타항,관공선,4,N,N
DUCKYANG GAS,2021,10,내항,출항,980,2021-03-16 10:15,2021-04-02 10:55,3부두 02,여수,SAKAI,LPG 운반선,2,N,N
해양호,2021,6,내항,출항,"1,130",2021-03-19 09:45,2021-04-02 10:00,남화부두,기타항,기타항,폐기물 운반선,24,N,N
LOYALTY,2021,1,외항,출항,"18,722",2021-03-21 15:55,2021-04-02 15:25,8부두 02,KOH SICHANG,RUGAO PT,일반화물선,19,N,N
OCEAN WORLD,2021,5,외항,출항,"4,387",2021-03-22 13:00,2021-04-01 22:40,SK1부두 11,JOETSU,SODEGAURA,석유제품 운반선,11,N,N
GOLDEN MERCURY,2021,1,외항,출항,"3,901",2021-03-23 04:30,2021-04-02 04:00,SK5부두,DALIAN,JIAXING PT,케미칼 운반선,22,N,N
MAREEBA,2021,1,외항,출항,"26,195",2021-03-26 07:10,2021-04-02 23:50,6부두 05,THEVENARD,MOURILYAN,산물선(벌크선),10,N,N
NAVIG8 TANZANITE,2021,1,외항,출항,"29,492",2021-03-27 08:05,2021-04-01 02:00,4부두 02,평택.당진,DONGGUAN PT,원유운반선,18,N,N
BUENA ESPERANZA,2021,7,외항,출항,"2,999",2021-03-28 21:50,2021-04-01 19:40,3부두 02,KAWASAKI,TOKUYAMA,LPG 운반선,2,N,N
CS SUMMER,2021,9,외항,출항,"7,675",2021-03-28 22:00,2021-04-01 12:15,UTT부두,JIANGYIN PT,"NAGOYA, AICHI",석유제품 운반선,11,N,N
스카이케미,2021,23,내항,출항,"1,772",2021-03-28 23:30,2021-04-01 06:20,SK1부두 12,여천항,여천항,석유제품 운반선,11,N,N
NEW SKY,2021,8,내항,출항,"4,060",2021-03-29 03:35,2021-04-01 00:15,SK1부두 11,대산,대산,석유제품 운반선,11,N,N
RIDGEBURY KATHERINE Z,2021,1,외항,출항,"29,905",2021-03-29 09:30,2021-04-01 17:15,SK7부두,기타항,MACKAY,석유제품 운반선,11,N,N
CRANE SPICA,2021,5,외항,출항,"4,416",2021-03-29 10:00,2021-04-04 01:55,8부두 01,"SENDAI, MIYAGI",NINGBO PT,석유제품 운반선,11,N,N
유성,2021,38,내항,출항,"1,998",2021-03-29 22:00,2021-04-01 01:00,SK2부두 01,마산,마산,석유제품 운반선,11,N,N
건설3호,2021,11,내항,출항,"5,819",2021-03-30 00:10,2021-04-01 11:00,SK5부두,인천,인천,석유제품 운반선,11,N,N
SKY EVER,2021,2,외항,출항,"1,211",2021-03-30 01:35,2021-04-02 15:25,4부두 02,"TOBATA, FUKUOKA",부산,일반화물선,19,N,N
HANYU FRONTIER,2021,8,외항,출항,"3,834",2021-03-30 04:50,2021-04-07 19:10,SK1부두 12,ZHENJIANG PT,ZHENJIANG PT,케미칼 운반선,22,N,N
3동주,2021,45,내항,출항,700,2021-03-30 06:20,2021-04-01 06:30,SK2부두 01,부산,광양,석유제품 운반선,11,N,N
동명에이스,2021,23,내항,출항,919,2021-03-30 10:45,2021-04-01 00:20,자동차부두 02,부산,부산,석유제품 운반선,11,N,N
MORNING CRANE,2021,1,외항,출항,"61,651",2021-03-30 13:00,2021-04-07 04:30,SK7부두,대산,RAS LAFFAN,석유제품 운반선,11,N,N
VINALINES GALAXY,2021,3,외항,출항,"30,105",2021-03-30 13:48,2021-04-01 14:10,SK8부두,TAICHUNG,TAICHUNG,석유제품 운반선,11,N,N
ELANDRA SEA,2021,1,외항,출항,"29,939",2021-03-30 17:12,2021-04-01 23:55,SK6부두,LOSANGELES,부산,석유제품 운반선,11,Y,Y
MORNING CALYPSO,2021,1,외항,출항,"59,580",2021-03-30 17:24,2021-04-01 21:55,6부두 02,목포,SAN ANTONIO,자동차운반선,20,N,N
GOLDEN RAINBOW,2021,1,외항,출항,"2,661",2021-03-30 19:05,2021-04-01 15:25,2부두 01,ZARUBINO,LONGKOU PT,일반화물선,19,N,N
HANYU DREAM,2021,14,내항,출항,"2,114",2021-03-31 02:40,2021-04-03 10:00,SK2부두 01,인천,부산,석유제품 운반선,11,N,N
WOO GEUN,2021,4,외항,출항,"8,473",2021-03-31 03:35,2021-04-01 00:15,6부두 03,XIAMEN,여수,석유제품 운반선,11,N,N
HOKO,2021,3,외항,출항,"5,459",2021-03-31 06:55,2021-04-01 07:00,4부두 01,여수,"KASHIMA, IBARAKI",케미칼 운반선,22,N,N
ONYX ARROW,2021,1,외항,출항,"57,692",2021-03-31 07:12,2021-04-01 16:35,6부두 02,평택.당진,광양,자동차운반선,20,N,N
RCC ANTWERP,2021,1,외항,출항,"58,767",2021-03-31 07:18,2021-04-02 17:00,6부두 02,광양,광양,자동차운반선,20,N,N
ENSEMBLE,2021,2,외항,출항,"21,316",2021-03-31 07:20,2021-04-02 08:00,UTT부두,CHITA,여수,석유제품 운반선,11,N,N
PAN SPIRIT,2021,1,외항,출항,"8,331",2021-03-31 08:10,2021-04-15 08:25,염포부두 02,여수,KAOHSIUNG,LPG 운반선,2,N,N
한동20호,2021,29,내항,출항,"1,502",2021-03-31 08:15,2021-04-01 20:20,SK2부두 01,동해,제주,석유제품 운반선,11,N,N
KOETA NO.3,2021,1,외항,출항,"3,591",2021-03-31 10:35,2021-04-01 06:10,6부두 04,DONGYING PT,NINGBO,LPG 운반선,2,N,N
NO.2 HEUNG-A PIONEER,2021,3,외항,출항,"8,271",2021-03-31 12:00,2021-04-01 17:00,6부두 04,HAIPHONG,여수,케미칼 운반선,22,N,N
GRAND AURORA,2021,2,외항,출항,"59,217",2021-03-31 13:54,2021-04-01 00:00,6부두 02,광양,GUANGZHOU,자동차운반선,20,N,N
JANESIA ASPHALT IV,2021,2,외항,출항,"3,378",2021-03-31 14:40,2021-04-02 14:20,SK1부두 11,"SENDAI, MIYAGI",IWAKUNI,석유제품 운반선,11,N,N
GREEN GAS,2021,7,외항,출항,"2,997",2021-03-31 16:20,2021-04-03 10:00,3부두 02,CHIBA,MAI-LIAO,LPG 운반선,2,N,N
SUN IRIS,2021,4,외항,출항,"7,294",2021-03-31 18:00,2021-04-02 22:45,SK5부두,여수,KOBE,석유제품 운반선,11,N,N
KEOYOUNG BLUE 3,2021,8,외항,출항,"1,395",2021-03-31 19:50,2021-04-01 08:00,6부두 03,HIROSHIMA,부산,석유제품 운반선,11,N,N
KOREA VISION,2021,9,내항,출항,"3,872",2021-03-31 20:05,2021-04-01 10:05,가스부두,여수,여수,LPG 운반선,2,N,N
청담,2021,1,내항,출항,"1,130",2021-03-31 20:55,2021-04-03 21:45,SK1부두 12,여천항,부산,석유제품 운반선,11,N,N
삼표 2,2021,2,내항,출항,"5,457",2021-03-31 22:20,2021-04-01 04:12,2부두 03,삼척,삼척,시멘트운반선,14,Y,Y
SPRING NOTE,2021,7,외항,출항,"2,579",2021-03-31 23:35,2021-04-01 03:45,일반부두 07,울산,KAINAN,케미칼 운반선,22,N,N
CHEMBULK VIRGIN GORD,2021,1,외항,출항,"18,760",2021-03-31 23:48,2021-04-02 18:05,SK3부두,기타항,SINGAPORE,석유제품 운반선,11,N,N
103동성호,2021,26,내항,입항,498,2021-04-01 00:35,2021-04-01 04:30,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
103동성호,2021,26,내항,출항,498,2021-04-01 00:35,2021-04-01 04:30,SK2부두 01,부산,부산,석유제품 운반선,11,N,N
BUENA BANDERA,2021,1,외항,출항,"4,235",2021-04-01 01:10,2021-04-01 14:10,가스부두,FUZHOU,FUZHOU,LPG 운반선,2,N,N
BUENA BANDERA,2021,1,외항,입항,"4,235",2021-04-01 01:10,2021-04-01 14:10,가스부두,NINGBO,FUZHOU,LPG 운반선,2,Y,N
금창호,2021,19,내항,출항,999,2021-04-01 03:20,2021-04-01 15:25,SK2부두 02,부산,부산,석유제품 운반선,11,N,N
ASIAN RIGEL,2021,3,외항,입항,"5,201",2021-04-01 03:25,2021-04-09 21:30,8부두 01,여수,여수,석유제품 운반선,11,N,N
BOW EXPLORER,2021,1,외항,입항,"29,627",2021-04-01 04:00,2021-04-08 05:10,7부두 01,여수,MANILA,케미칼 운반선,22,N,N
진양1호,2021,29,내항,출항,"1,995",2021-04-01 04:30,2021-04-01 22:55,SK2부두 01,마산,동해,석유제품 운반선,11,N,N
FORTUNE SWAN,2021,2,외항,출항,"7,699",2021-04-01 07:10,2021-04-04 15:00,3부두 01,대산,대산,케미칼 운반선,22,N,N
JOY CHEMIST,2021,7,외항,입항,"5,376",2021-04-01 08:00,2021-04-03 21:25,1부두 01,TAICANG,TAICANG,케미칼 운반선,22,N,N
JOY CHEMIST,2021,7,외항,출항,"5,376",2021-04-01 08:00,2021-04-03 21:25,가스부두,ZHENJIANG PT,TAICANG,케미칼 운반선,22,Y,Y
KEOYOUNG PIONEER,2021,3,외항,출항,"2,210",2021-04-01 08:10,2021-04-01 20:30,3부두 02,ZHANGJIAGANG,여수,석유제품 운반선,11,N,N
KEOYOUNG PIONEER,2021,3,외항,입항,"2,210",2021-04-01 08:10,2021-04-01 20:30,3부두 02,ZHANGJIAGANG,여수,석유제품 운반선,11,N,N
JEIL CRYSTAL,2021,1,외항,입항,"6,301",2021-04-01 09:20,2021-04-02 10:40,4부두 01,OCEAN DISTRICT,LIANYUNGANG,케미칼 운반선,22,N,N
JEIL CRYSTAL,2021,1,외항,출항,"6,301",2021-04-01 09:20,2021-04-02 10:40,2부두 01,MOJI/KITAKYUSHU,LIANYUNGANG,케미칼 운반선,22,N,N
POHANG PIONEER,2021,2,외항,출항,"5,422",2021-04-01 09:25,2021-04-02 21:08,가스부두,TIANJIN,여수,석유제품 운반선,11,Y,N
삼원썬,2021,25,내항,출항,999,2021-04-01 10:10,2021-04-02 06:05,SK1부두 12,여천항,포항신항,석유제품 운반선,11,Y,Y
